CustomerID,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,GeographyKey,DemographicsKey,ContractKey
4598-XLKNJ,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,98.5,2514.5,Yes,1,88,5337,Limited range of services,24,10,2
3192-NQECA,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,25,8,8
0486-HECZI,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,96.75,5238.9,Yes,1,75,5154,Long distance charges,26,7,2
4846-WHAFZ,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,76.5,2868.15,Yes,1,67,2793,Extra data charges,27,10,2
5299-RULOA,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,100.25,1064.65,Yes,1,87,5998,Price too high,28,3,2
0404-SWRVG,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,29,4,2
4412-YLTKF,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,30,12,2
6207-WIOLX,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,31,5,7
3091-FYHKI,1,No,No phone service,DSL,No,No,No,No,No,Yes,35.45,35.45,Yes,1,80,2301,Network reliability,32,1,2
2372-HWUHI,2,Yes,No,DSL,No,No,No,No,No,No,44.35,81.25,Yes,1,76,2570,Don't know,33,1,6
0390-DCFDQ,1,Yes,No,Fiber optic,No,No,No,No,No,No,70.45,70.45,Yes,1,76,3964,Don't know,34,10,1
4080-OGPJL,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,71.15,563.65,Yes,1,66,2662,Don't know,35,9,6
2135-RXIHG,1,Yes,No,DSL,No,No,No,No,No,No,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,36,1,2
3874-EQOEP,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,37,4,5
0867-MKZVY,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,82.4,1592.35,Yes,1,86,5719,Price too high,38,3,6
3376-BMGFE,4,Yes,No,Fiber optic,No,No,No,No,No,No,70.9,273.0,Yes,1,75,4287,Product dissatisfaction,39,2,3
3445-HXXGF,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,40,13,2
1875-QIVME,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,41,3,2
0691-JVSYA,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,94.85,5000.2,Yes,1,80,4328,Network reliability,42,5,9
2656-FMOKZ,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,74.45,1145.7,Yes,1,99,5717,Limited range of services,43,12,1
2070-FNEXE,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,44,12,10
6317-YPKDH,1,No,No phone service,DSL,No,Yes,No,No,No,No,29.95,29.95,Yes,1,95,4534,Long distance charges,45,9,10
9367-WXLCH,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,84.5,662.65,Yes,1,86,2152,Extra data charges,46,4,10
1918-ZBFQJ,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,79.25,1111.65,Yes,1,73,5142,Price too high,47,2,2
1024-GUALD,1,No,No phone service,DSL,No,No,No,No,No,No,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,48,5,2
2472-OVKUP,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,91.0,531.0,Yes,1,94,2283,Service dissatisfaction,49,7,2
1285-OKIPP,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,50,4,6
7825-ECJRF,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,106.6,1934.45,Yes,1,71,3764,Network reliability,51,2,2
7841-TZDMQ,2,Yes,No,DSL,No,No,No,No,No,No,46.0,84.5,Yes,1,76,2667,Don't know,52,1,7
9408-SSNVZ,4,Yes,No,Fiber optic,No,No,No,No,No,No,70.15,268.35,Yes,1,67,2227,Don't know,53,2,2
0742-MOABM,4,Yes,No,DSL,No,No,No,Yes,No,No,50.05,179.35,Yes,1,82,3394,Don't know,54,8,5
2232-DMLXU,1,Yes,No,DSL,No,No,No,No,Yes,No,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,55,5,5
8937-RDTHP,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,56,4,1
1251-KRREG,2,Yes,Yes,DSL,No,Yes,No,No,No,No,54.4,114.1,Yes,1,81,2556,Price too high,57,1,1
0094-OIFMO,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,58,12,2
9947-OTFQU,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,59,6,2
0322-YINQP,1,Yes,No,DSL,Yes,No,No,No,No,No,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,60,1,1
4629-NRXKX,2,Yes,No,Fiber optic,No,No,No,No,No,No,70.4,147.15,Yes,1,75,5687,Network reliability,61,5,6
9514-JDSKI,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,40.2,40.2,Yes,1,65,5828,Limited range of services,62,13,6
4959-JOSRX,2,Yes,No,DSL,No,No,No,No,No,No,44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,63,5,7
7273-TEFQD,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,41.15,132.2,Yes,1,96,2314,Long distance charges,64,6,2
3606-TWKGI,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,106.9,1364.3,Yes,1,84,2494,Extra data charges,65,6,2
6323-AYBRX,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.35,1099.6,Yes,1,83,5084,Price too high,66,1,11
4385-GZQXV,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,67,14,2
6366-ZGQGL,1,No,No phone service,DSL,No,No,No,No,No,No,24.8,24.8,Yes,1,73,5087,Service dissatisfaction,68,1,10
5940-AHUHD,1,Yes,No,Fiber optic,No,No,No,No,No,No,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,69,1,5
6432-TWQLB,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,85.4,401.1,Yes,1,80,3676,Network reliability,70,8,2
4484-GLZOU,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,105.05,5624.85,Yes,1,65,4839,Don't know,71,5,2
9512-UIBFX,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,95.15,1779.95,Yes,1,68,4643,Don't know,72,8,5
5583-SXDAG,1,Yes,No,Fiber optic,No,No,No,No,No,No,70.0,70.0,Yes,1,97,4094,Don't know,73,8,6
3488-PGMQJ,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,74.5,606.55,Yes,1,80,4345,Poor expertise of online support,74,6,2
3580-REOAC,10,Yes,No,DSL,No,No,No,No,No,No,44.85,435.4,Yes,1,83,4061,Poor expertise of phone support,75,1,7
7534-BFESC,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,76.1,1712.7,Yes,1,98,2018,Price too high,76,6,2
6390-DSAZX,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,73.6,73.6,Yes,1,80,2565,Product dissatisfaction,77,9,1
8098-LLAZX,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,78,14,2
0265-EDXBD,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website,79,13,2
7563-BIUPC,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,80.6,415.55,Yes,1,69,5715,Network reliability,80,1,2
2321-OMBXY,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,80.3,3058.65,Yes,1,81,2071,Limited range of services,81,5,12
2840-XANRC,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,93.15,2231.05,Yes,1,73,2212,Lack of affordable download/upload speed,82,13,2
5020-ZSTTY,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,82.45,4350.1,Yes,1,83,4149,Long distance charges,83,14,13
5804-LEPIM,2,Yes,No,Fiber optic,No,No,No,No,No,No,70.35,139.05,Yes,1,73,2671,Extra data charges,84,14,2
0122-OAHPZ,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,73.85,511.25,Yes,1,67,2473,Price too high,85,9,2
2868-SNELZ,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,80.6,155.8,Yes,1,92,2683,Product dissatisfaction,86,9,5
4322-RCYMT,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,75.8,5293.95,Yes,1,81,4903,Service dissatisfaction,87,8,9
6680-NENYN,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,104.6,4759.85,Yes,1,91,5250,Lack of self-service on Website,88,9,14
1343-EHPYB,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,103.4,6603.0,Yes,1,98,4352,Network reliability,89,8,2
2034-GDRCN,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,90.4,168.2,Yes,1,76,4157,Don't know,90,9,2
0219-YTZUE,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,84.8,371.9,Yes,1,73,4939,Don't know,91,8,3
0623-IIHUG,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,41.9,840.1,Yes,1,97,4778,Don't know,92,14,2
4572-DVCGN,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,80.25,846.0,Yes,1,85,3598,Poor expertise of online support,93,9,3
9057-MSWCO,27,No,No phone service,DSL,Yes,No,No,No,No,No,30.75,805.1,Yes,1,91,2927,Poor expertise of phone support,94,13,4
1010-DIAUQ,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,96.5,492.55,Yes,1,98,5383,Price too high,95,1,10
0259-GBZSH,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,85.65,181.5,Yes,1,73,3878,Product dissatisfaction,96,1,2
9601-BRXPO,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.95,2566.5,Yes,1,66,3642,Service dissatisfaction,97,5,3
6905-NIQIN,1,Yes,No,DSL,No,Yes,No,No,No,No,50.65,50.65,Yes,1,76,2431,Don't know,98,1,5
5167-ZFFMM,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,90.85,90.85,Yes,1,81,3424,Network reliability,99,1,7
4895-TMWIR,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.95,214.75,Yes,1,80,5888,Limited range of services,100,13,5
0533-BNWKF,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,85.45,4874.7,Yes,1,100,5502,Lack of affordable download/upload speed,101,15,2
6599-CEBNN,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,73.95,2524.45,Yes,1,94,5795,Long distance charges,102,9,7
0979-PHULV,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,99.45,7007.6,Yes,1,80,4020,Extra data charges,103,8,7
4800-VHZKI,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.9,19.9,Yes,1,92,3351,Price too high,104,9,1
7989-CHGTL,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.6,19.6,Yes,1,95,3448,Product dissatisfaction,105,1,1
0334-GDDSO,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,81.35,233.7,Yes,1,73,2818,Service dissatisfaction,106,6,2
0578-SKVMF,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,83.3,1845.9,Yes,1,88,3804,Lack of self-service on Website,107,5,6
5564-NEMQO,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,75.3,75.3,Yes,1,67,4902,Network reliability,108,14,3
9063-ZGTUY,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.4,1182.55,Yes,1,82,4221,Don't know,109,5,1
2957-LOLHO,12,Yes,No,DSL,No,No,No,No,No,No,45.4,518.9,Yes,1,68,2887,Don't know,110,1,3
7752-XUSCI,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,105.9,6396.45,Yes,1,84,4105,Don't know,111,9,2
4110-PFEUZ,1,Yes,No,Fiber optic,No,No,No,No,No,No,69.55,69.55,Yes,1,73,2792,Competitor had better devices,112,9,5
0256-LTHVJ,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,81.05,2227.1,Yes,1,98,5201,Competitor had better devices,113,5,2
0880-TKATG,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,101.15,385.9,Yes,1,84,4417,Competitor had better devices,114,8,6
3811-VBYBZ,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,99.8,673.25,Yes,1,98,2031,Competitor had better devices,115,1,2
4640-UHDOS,13,Yes,No,DSL,No,No,No,No,No,Yes,55.95,734.35,Yes,1,91,4498,Competitor had better devices,116,5,6
3583-EKAPL,1,Yes,No,DSL,No,No,No,No,No,Yes,55.0,55.0,Yes,1,71,4877,Competitor had better devices,117,1,2
9399-APLBT,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,74.7,74.7,Yes,1,80,5980,Competitor had better devices,118,5,2
2359-KMGLI,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,80.25,1861.5,Yes,1,77,4418,Competitor had better devices,119,1,2
0306-JAELE,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,96.1,453.4,Yes,1,66,4192,Competitor had better devices,120,1,2
6227-HWPWX,15,Yes,No,Fiber optic,No,No,No,No,No,No,69.0,994.8,Yes,1,73,5671,Competitor had better devices,121,9,10
0447-BEMNG,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,45.3,2145.0,Yes,1,65,4926,Price too high,122,5,3
5949-XIKAE,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,83.55,680.05,Yes,1,65,2879,Product dissatisfaction,123,5,2
8372-JUXUI,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,74.35,74.35,Yes,1,93,2814,Service dissatisfaction,124,1,2
0388-EOPEX,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,74.4,139.4,Yes,1,77,4263,Lack of self-service on Website,125,5,2
8205-OTCHB,22,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,43.75,903.6,Yes,1,66,3099,Network reliability,126,1,9
6235-VDHOM,5,No,No phone service,DSL,No,Yes,No,No,No,No,28.45,131.05,Yes,1,89,4099,Limited range of services,127,14,6
7783-YKGDV,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,99.7,1238.45,Yes,1,76,2538,Lack of affordable download/upload speed,128,9,3
5609-CEBID,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,94.1,1782.4,Yes,1,87,2666,Long distance charges,129,14,2
7218-HKQFK,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,94.2,167.5,Yes,1,72,3715,Don't know,130,8,2
4636-QRJKY,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,80.5,502.85,Yes,1,98,5032,Price too high,131,5,2
5956-VKDTT,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,74.35,334.8,Yes,1,82,5273,Product dissatisfaction,132,15,2
9412-GHEEC,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.8,4131.95,Yes,1,88,3492,Service dissatisfaction,133,1,10
0257-ZESQC,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,75.2,1929.35,Yes,1,99,4517,Lack of self-service on Website,134,15,3
6825-UYPFK,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,75.6,1758.6,Yes,1,81,2115,Network reliability,135,9,10
8397-MVTAZ,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,100.05,3480.0,Yes,1,72,2568,Don't know,136,8,2
9282-IZGQK,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,85.0,85.0,Yes,1,80,5679,Don't know,137,9,2
1342-JPNKI,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,86.05,834.1,Yes,1,85,2966,Don't know,138,1,3
2817-NTQDO,13,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,45.55,597.0,Yes,1,74,4856,Poor expertise of online support,139,1,7
6986-IJDHX,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,86.3,3266.0,Yes,1,98,3364,Poor expertise of phone support,140,8,1
5301-GAUUY,32,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,80.35,2596.15,Yes,1,92,5974,Competitor had better devices,141,1,3
0939-YAPAF,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,100.25,3527.6,Yes,1,72,2744,Competitor offered higher download speeds,142,9,2
4710-FDUIZ,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,100.3,5614.45,Yes,1,67,5170,Competitor offered more data,143,8,12
1218-VKFPE,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.0,233.55,Yes,1,72,3535,Competitor made better offer,144,5,5
3627-FHKBK,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,75.3,75.3,Yes,1,87,3244,Competitor had better devices,145,9,5
2865-TCHJW,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,89.2,346.2,Yes,1,74,5808,Competitor had better devices,146,14,2
5192-EBGOV,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,85.7,85.7,Yes,1,66,4880,Competitor offered higher download speeds,147,14,2
0719-SYFRB,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,61.65,713.75,Yes,1,67,5670,Competitor offered higher download speeds,148,9,1
3419-SNJJD,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,105.25,6786.4,Yes,1,91,4196,Competitor offered higher download speeds,149,15,10
6543-CPZMK,9,No,No phone service,DSL,No,Yes,No,No,No,No,29.95,248.95,Yes,1,83,2573,Competitor offered more data,150,8,2
4765-OXPPD,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,65.0,663.05,Yes,1,76,3983,Competitor offered more data,151,5,5
1009-IRMNA,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.0,137.6,Yes,1,100,4479,Competitor offered more data,152,9,10
4554-YGZIH,49,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,90.05,4547.25,Yes,1,96,5059,Competitor made better offer,153,13,4
5099-BAILX,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,110.75,4687.9,Yes,1,65,2728,Competitor made better offer,154,13,3
7207-RMRDB,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,105.5,6985.65,Yes,1,89,5720,Competitor had better devices,155,5,2
4913-EHYUI,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,104.55,5794.65,Yes,1,91,6268,Competitor offered higher download speeds,156,13,9
0195-IESCP,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,85.25,855.3,Yes,1,75,3573,Competitor offered more data,157,8,2
4580-TMHJU,43,Yes,No,DSL,No,No,No,No,Yes,No,56.15,2499.3,Yes,1,65,2152,Don't know,158,5,6
0970-ETWGE,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,89.55,89.55,Yes,1,99,4996,Competitor had better devices,159,1,2
1626-ERCMM,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,94.55,1899.65,Yes,1,84,5604,Competitor had better devices,160,13,2
0887-HJGAR,1,Yes,No,DSL,No,No,No,No,No,No,45.7,45.7,Yes,1,95,2295,Competitor offered higher download speeds,161,1,1
5644-PDMZC,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,89.5,161.5,Yes,1,80,2065,Competitor offered higher download speeds,162,14,6
9576-ANLXO,3,Yes,No,Fiber optic,No,No,No,No,No,No,69.55,222.3,Yes,1,87,2876,Competitor offered higher download speeds,163,9,3
2024-BASKD,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,74.6,74.6,Yes,1,94,3860,Competitor offered more data,164,9,1
4160-AMJTL,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.65,164.3,Yes,1,83,5432,Competitor offered more data,165,14,6
4464-JCOLN,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.85,35.9,Yes,1,68,2362,Competitor offered more data,166,8,15
5650-VDUDS,4,No,No phone service,DSL,No,No,No,No,No,No,24.25,96.05,Yes,1,93,2038,Competitor made better offer,167,9,1
7538-GWHML,2,Yes,No,Fiber optic,No,No,No,No,No,No,69.65,145.15,Yes,1,80,2323,Competitor made better offer,168,9,6
3859-CVCET,4,Yes,No,DSL,No,No,No,No,No,No,45.65,191.05,Yes,1,78,2864,Competitor had better devices,169,9,5
3276-HDUEG,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,75.05,75.05,Yes,1,78,4838,Competitor offered higher download speeds,170,9,1
0823-HSCDJ,52,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,49.15,2550.9,Yes,1,90,5597,Competitor offered more data,171,6,2
0822-GAVAP,2,No,No phone service,DSL,No,No,No,No,No,Yes,34.7,62.25,Yes,1,65,3146,Competitor made better offer,172,9,2
1448-PWKYE,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,80.0,80.0,Yes,1,88,2046,Competitor had better devices,173,8,6
0067-DKWBL,2,Yes,No,DSL,Yes,No,No,No,No,No,49.25,91.1,Yes,1,89,3475,Competitor had better devices,174,6,2
2276-YDAVZ,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,75.1,270.7,Yes,1,69,4965,Competitor offered higher download speeds,175,9,7
5896-NPFWW,3,Yes,No,DSL,No,No,Yes,No,No,No,50.15,168.15,Yes,1,86,3273,Competitor offered higher download speeds,176,8,2
7133-VBDCG,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,79.85,2015.35,Yes,1,85,4535,Competitor offered higher download speeds,177,9,3
1029-QFBEN,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.55,19.55,Yes,1,66,3556,Competitor offered more data,178,1,5
4952-YSOGZ,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,85.95,381.3,Yes,1,74,5640,Competitor offered more data,179,5,2
1589-AGTLK,3,Yes,No,DSL,No,No,No,No,No,No,45.35,141.5,Yes,1,67,2450,Competitor offered more data,180,1,2
5244-IRFIH,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,94.5,3105.55,Yes,1,96,4333,Competitor made better offer,181,13,2
2684-EIWEO,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,91.7,2758.15,Yes,1,97,2482,Competitor made better offer,182,14,4
6439-GTPCA,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,87.25,3941.7,Yes,1,73,5269,Competitor had better devices,183,9,2
5138-WVKYJ,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,98.55,1008.55,Yes,1,80,3658,Competitor offered higher download speeds,184,1,6
